
Quinlan   	9	M	fern green          	Healthy
Matty     	9	F	dark blue           	Radioactive
Jacky     	9	F	warm purple         	Healthy
Filide    	9	F	dark navy blue      	Healthy
Kellia    	7	F	warm purple         	Healthy
Leicester 	7	M	dark navy blue      	Healthy
Inness    	6	M	warm purple         	Healthy
Kacey     	6	F	dark navy blue      	Healthy
Myrilla   	5	F	warm purple         	Healthy
Pavel     	5	M	dark navy blue      	Healthy
Katusha   	5	F	warm purple         	Healthy
Lindsay   	4	M	warm purple         	Healthy
Elijah    	4	M	dark navy blue      	Healthy
Trescha   	4	F	warm purple         	Healthy
Skyler    	4	M	dark navy blue      	Healthy
Brita     	3	F	warm purple         	Healthy
Kinnie    	3	M	dark navy blue      	Healthy
Quinn     	3	F	warm purple         	Healthy
Kate      	3	F	dark navy blue      	Healthy
Gretna    	3	F	warm purple         	Healthy
Josy      	3	F	warm purple         	Healthy
Darline   	2	F	warm purple         	Healthy
Chester   	2	M	dark navy blue      	Healthy
Abby      	2	M	warm purple         	Healthy
Minnie    	2	F	dark navy blue      	Healthy
Rozelle   	2	F	warm purple         	Healthy
Dulcine   	2	F	warm purple         	Healthy
Angelica  	2	F	warm purple         	Healthy
Dedra     	1	F	warm purple         	Healthy
Gasparo   	1	M	dark navy blue      	Healthy
Danika    	1	F	warm purple         	Healthy
Amby      	1	M	dark navy blue      	Healthy
Belinda   	1	F	warm purple         	Healthy
Vivianna  	1	F	warm purple         	Healthy
Collette  	1	F	warm purple         	Healthy
Georgine  	1	F	warm purple         	Healthy
Rebekkah  	1	F	warm purple         	Healthy
Delano    	1	M	dark navy blue      	Healthy
Kizzie    	1	F	warm purple         	Healthy
Meryl     	1	F	warm purple         	Healthy
Bobbee    	0	F	warm purple         	Healthy
Francine  	0	F	dark navy blue      	Healthy
Grantham  	0	M	warm purple         	Healthy
Debi      	0	F	dark navy blue      	Healthy
Millisent 	0	F	warm purple         	Healthy
Shelley   	0	F	warm purple         	Healthy
Hedy      	0	F	warm purple         	Healthy
Sinclair  	0	M	warm purple         	Healthy
Jarret    	0	M	warm purple         	Healthy
Mallissa  	0	F	dark navy blue      	Healthy
Carmine   	0	F	warm purple         	Healthy
Anstice   	0	F	warm purple         	Healthy
Tildy     	0	F	warm purple         	Healthy
Annabelle 	0	F	dark navy blue      	Healthy
Linette   	0	F	warm purple         	Healthy
Sallyanne 	0	F	warm purple         	Healthy
Drucie    	0	F	warm purple         	Healthy
------------------------------------------------------------------------
Isidoro   	10	M	purplish grey       	Healthy
Quinlan   	10	M	fern green          	Healthy
Matty     	10	F	dark blue           	Radioactive
Jacky     	10	F	warm purple         	Healthy
Filide    	10	F	dark navy blue      	Healthy
Kellia    	8	F	warm purple         	Healthy
Leicester 	8	M	dark navy blue      	Healthy
Inness    	7	M	warm purple         	Healthy
Kacey     	7	F	dark navy blue      	Healthy
Myrilla   	6	F	warm purple         	Healthy
Pavel     	6	M	dark navy blue      	Healthy
Katusha   	6	F	warm purple         	Healthy
Lindsay   	5	M	warm purple         	Healthy
Elijah    	5	M	dark navy blue      	Healthy
Trescha   	5	F	warm purple         	Healthy
Skyler    	5	M	dark navy blue      	Healthy
Brita     	4	F	warm purple         	Healthy
Kinnie    	4	M	dark navy blue      	Healthy
Quinn     	4	F	warm purple         	Healthy
Kate      	4	F	dark navy blue      	Healthy
Gretna    	4	F	warm purple         	Healthy
Josy      	4	F	warm purple         	Healthy
Darline   	3	F	warm purple         	Healthy
Chester   	3	M	dark navy blue      	Healthy
Abby      	3	M	warm purple         	Healthy
Minnie    	3	F	dark navy blue      	Healthy
Rozelle   	3	F	warm purple         	Healthy
Dulcine   	3	F	warm purple         	Healthy
Angelica  	3	F	warm purple         	Healthy
Dedra     	2	F	warm purple         	Healthy
Gasparo   	2	M	dark navy blue      	Healthy
Danika    	2	F	warm purple         	Healthy
Amby      	2	M	dark navy blue      	Healthy
Belinda   	2	F	warm purple         	Healthy
Vivianna  	2	F	warm purple         	Healthy
Collette  	2	F	warm purple         	Healthy
Georgine  	2	F	warm purple         	Healthy
Rebekkah  	2	F	warm purple         	Healthy
Delano    	2	M	dark navy blue      	Healthy
